raw_name,clean_name,name_category,match_status,manual_gbif_usageKey,manual_gbif_canonicalName,notes,Original.sheet,date_added
Pica hundonia,Pica hundonia,full_name,needs_review_rank_mismatch,4HPXK,Pica hudsonia,Typo,Spatula_discors_EP.csv,9/17/2026
Psaltriparus mimus,Psaltriparus mimus,full_name,needs_review_rank_mismatch,4NB5F,Psaltriparus minimus,Typo,micrathene_whitneyi.csv,9/17/2026
Puffinus iherminieri,Puffinus iherminieri,full_name,needs_review_rank_mismatch,4QFXV,Puffinus lherminieri,Typo,Onychoprion_anaethetus_MA.csv,9/17/2026
Pyrrhula phyrrhula,Pyrrhula phyrrhula,full_name,needs_review_rank_mismatch,4QW2H,Pyrrhula pyrrhula,Typo,Asio_otus_EP_IH.csv,9/17/2026
Ramphastos sufuratus,Ramphastos sufuratus,full_name,needs_review_rank_mismatch,6WR6G,Ramphastos sulfuratus,Typo,Pteroglossus_torquatus_MA.csv,9/17/2026
Sterna fosteri,Sterna fosteri,full_name,needs_review_rank_mismatch,6ZSCV,Sterna forsteri,Typo,Thalasseus_maximus_IH_EP.csv,9/17/2026
Urile aalge,Urile aalge,full_name,needs_review_rank_mismatch,7DS6Y,Uria aalge,Typo,Urile_urile_MA_CR.csv,9/17/2026
Veniliornis afnis,Veniliornis afnis,full_name,needs_review_rank_mismatch,7FLPQ,Veniliornis affinis,Typo,Tolmomyias_sulphurescens_AJ.csv,9/17/2026
Vireo flavirordis,Vireo flavirordis,full_name,needs_review_rank_mismatch,5BJKN,Vireo flavoviridis,Typo,Pteroglossus_torquatus_MA.csv,9/17/2026
undi. Cacicus,undi. Cacicus,full_name,needs_review_rank_mismatch,62JRZ,Cacicus,Typo,Psarocolius_wagleri_LB.csv,9/17/2026
undi. Dendrocolaptes,undi. Dendrocolaptes,full_name,needs_review_rank_mismatch,42YR,Dendrocolaptes,Typo,Habia_fuscicauda_LB.csv,9/17/2026
undi. Denrocincla,undi. Denrocincla,full_name,needs_review_rank_mismatch,42YJ,Dendrocincla,Typo,Habia_fuscicauda_LB.csv,9/17/2026
undi. Icteridae,undi. Icteridae,full_name,needs_review_rank_mismatch,BCZ,Icteridae,Typo,Psarocolius_wagleri_LB.csv,9/17/2026
undi. Parulidae,undi. Parulidae,full_name,needs_review_rank_mismatch,626BR,Parulidae,Typo,Henicorhina_leucosticta_LB.csv,9/17/2026
undi. Psarocolius,undi. Psarocolius,full_name,needs_review_rank_mismatch,6YDP,Psarocolius,Typo,Psarocolius_wagleri_LB.csv,9/17/2026
undi. Tyrannidae,undi. Tyrannidae,full_name,needs_review_rank_mismatch,HMW,Tyrannidae,Typo,Psarocolius_wagleri_LB.csv,9/17/2026
unid. Accipiter hawl,unid. Accipiter hawl,full_name,needs_review_rank_mismatch,627QR,Accipiter,Typo,zenaida_macroura.csv,9/17/2026
Myiarchus tberculife,Myiarchus tberculife,full_name,needs_review_rank_mismatch,452NY,Myiarchus tuberculifer,Typo,,9/21/2026
Myiarchus tberculifer,Myiarchus tberculifer,full_name,needs_review_rank_mismatch,452NY,Myiarchus tuberculifer,Typo,,9/21/2026
Accipitiridae sp.,Accipitiridae sp.,higher_rank_expected,needs_review_coarsest_group_only,5W6,Accipitridae,Typo,,9/21/2026
Accipitreidae sp.,Accipitreidae sp.,higher_rank_expected,needs_review_coarsest_group_only,5W6,Accipitridae,Typo,,9/21/2026
Accipitrid sp.,Accipitrid sp.,higher_rank_expected,needs_review_coarsest_group_only,5W6,Accipitridae,Typo,,9/21/2026
Alcid sp.,Alcid sp.,higher_rank_expected,needs_review_coarsest_group_only,66H,Alcidae,Short name,,9/21/2026
Antidae sp.,Antidae sp.,higher_rank_expected,needs_review_coarsest_group_only,9H6K5,Anatidae,Typo,,9/21/2026
Apcodidae sp.,Apcodidae sp.,higher_rank_expected,needs_review_coarsest_group_only,6L5,Apodidae,Typo,,9/21/2026
Areid sp.,Areid sp.,higher_rank_expected,needs_review_coarsest_group_only,6PB,Ardeidae,Typo,,9/21/2026
Aves,Aves,higher_rank_expected,needs_review_coarsest_group_only,V2,Aves,Correct,,9/21/2026
Aves spp.,Aves spp.,higher_rank_expected,needs_review_coarsest_group_only,V2,Aves,Correct,,9/21/2026
Avian sp.,Avian sp.,higher_rank_expected,needs_review_coarsest_group_only,V2,Aves,Correct,,9/21/2026
Aythyinae sp.,Aythyinae sp.,higher_rank_expected,needs_review_coarsest_group_only,9H6K5,Anatidae,Not recognized,,9/21/2026
Aythyini sp.,Aythyini sp.,higher_rank_expected,needs_review_coarsest_group_only,9H6K5,Anatidae,Not recognized,,9/21/2026
Babbler sp.,Babbler sp.,higher_rank_expected,needs_review_coarsest_group_only,H9M,Timaliidae,Common name,,9/21/2026
Blackbird sp.,Blackbird sp.,higher_rank_expected,needs_review_coarsest_group_only,BCZ,Icteridae,Common name,,9/21/2026
Bunting sp.,Bunting sp.,higher_rank_expected,needs_review_coarsest_group_only,4B69,Emberiza,Common name (old world),,9/21/2026
Cardinal sp.,Cardinal sp.,higher_rank_expected,needs_review_coarsest_group_only,7QR,Cardinalidae,Common name,,9/21/2026
Certhiid sp.,Certhiid sp.,higher_rank_expected,needs_review_coarsest_group_only,7XP,Certhiidae,Short name,,9/21/2026
Ciconiiform sp.,Ciconiiform sp.,higher_rank_expected,needs_review_coarsest_group_only,Y9,Ciconiiformes,Short name,,9/21/2026
Cortunix sp.,Cortunix sp.,higher_rank_expected,needs_review_coarsest_group_only,9JJCS,Coturnix,Typo,,9/21/2026
Corvid sp.,Corvid sp.,higher_rank_expected,needs_review_coarsest_group_only,8L6,Corvidae,Short name,,9/21/2026
Crow sp.,Crow sp.,higher_rank_expected,needs_review_coarsest_group_only,62LZ4,Corvus,Common name,,9/21/2026
Dabbling duck sp.,Dabbling duck sp.,higher_rank_expected,needs_review_coarsest_group_only,9H6K5,Anatidae,Not recognized,,9/21/2026
Diving duck sp.,Diving duck sp.,higher_rank_expected,needs_review_coarsest_group_only,9H6K5,Anatidae,Not recognized,,9/21/2026
Dove sp.,Dove sp.,higher_rank_expected,needs_review_coarsest_group_only,8GD,Columbidae,Common name,,9/21/2026
Duck sp,Duck sp,higher_rank_expected,needs_review_coarsest_group_only,9H6K5,Anatidae,Common name,,9/21/2026
Duck sp.,Duck sp.,higher_rank_expected,needs_review_coarsest_group_only,9H6K5,Anatidae,Common name,,9/21/2026
Finch sp.,Finch sp.,higher_rank_expected,needs_review_coarsest_group_only,6244D,Fringillidae,Common name,,9/21/2026
Flycatcher sp.,Flycatcher sp.,higher_rank_expected,needs_review_coarsest_group_only,CZN,Muscicapidae,Common name (old world),,9/21/2026
Forest grouse sp.,Forest grouse sp.,higher_rank_expected,needs_review_coarsest_group_only,625WG,Phasianidae,Common name,,9/21/2026
Fringillid sp.,Fringillid sp.,higher_rank_expected,needs_review_coarsest_group_only,6244D,Fringillidae,Short name,,9/21/2026
Fulmar sp.,Fulmar sp.,higher_rank_expected,needs_review_coarsest_group_only,4LCC,Fulmarus,Common name,,9/21/2026
Galliform sp.,Galliform sp.,higher_rank_expected,needs_review_coarsest_group_only,38Z,Galliformes,Short name,,9/21/2026
